weather	What's the weather like tomorrow
rain	Is it raining outside
earn	bowater pretax profits rise mln stg shr div making turnover billion stg billion pretax profit mln mln tax mln mln company name bowater industries plc bwtr trading profit mln mln trading profit includes packaging and associated products mln mln merchanting and services mln mln tissue and timber products mln mln interest debit mln mln minority interests mln debit mln debit extraordinary items mln credit mln debit reuter 
acq	cra sold forrest gold for mln dlrs whim creek whim creek consolidated consortium leading will pay mln dlrs for acquisition cra craa forrest gold pty unit reported yesterday cra and whim creek not disclose price yesterday whim creek will hold pct consortium austwhim resources will hold pct and croesus mining pct statement reported forrest gold owns two mines western australia producing combined ounces gold year owns undeveloped gold project reuter 
earn	bowater industries profit exceed expectations bowater industries plc bwtr pretax profits mln stg exceeded market expectations mln and pushed company shares sharply high last night dealers shares eased back bowater reported mln stg profit company statement accompanying results that underlying trend showed improvement and intended expand developing existing businesses and seeking opportunities added that had appointed david lyon managing director redland plc rdld chief executive analysts noted that bowater profits mln stg mln previously had boost pension benefits mln stg profit australia and east showed greatest percentage rise jumping pct mln mln profit operations rose pct mln and europe pct mln reuter 
earn	citibank norway unit loses six mln crowns citibank cci norwegian subsidiary based bank made net loss six mln crowns foreign bankers expect show profits two lean years citibank oslo treasury head bjoern sejerstad told reuters citibank foreign bank subsidiaries operating norway lost money restructuring for investment banking commercial banking and economic slump norway last year plunge oil prices foreign banks allowed operate susbidiaries norway since foreign banking analysts oslo access norway second hand securities and equities markets approved this spring and lower primary reserve requirements make profit this year citibank lost crowns norway sejerstad profit likely this year planned liberalisation and economic performance helped steadier oil price dlrs barrel earlier this year chase manhattan bank cmb subsidiary decided stop foreign exchange trading heavy losses and focus fee based merchant banking reuter 
earn	vieille montagne conditions unfavourable sharp fall dollar price zinc and depreciation currency created unfavourable economic conditions for vieille montagne vmnb statement that two factors led squeeze refining margins and pct fall sales and services income despite unchanged level activity vieille montagne actively pursuing restructuring program reported mln franc net loss mln francs provisions for closure electrolysis plant compared mln franc net profit reuter 
earn	vieille montagne reports loss dividend nil year net loss exceptional charges mln francs profit mln exceptional provisions for closure viviez electrolysis plant mln francs exceptional gain mln sales and services billion francs billion proposed net dividend ordinary shares nil francs company full name vieille montagne vmnb reuter 
trade	japan hope avoiding sanctions top official japan chance convincing drop threatened trade sanctions despite efforts japanese team that left for washington today michael armacost secretary state for political affairs asked press conference whether japan moves boost domestic economy and open markets persuade not impose tariffs japanese imports and replied early for figures demonstrate that situation turned and permit result you described armacost hopes japan will steps lift domestic economy and reduce dependence exports remove barriers imports and settle outstanding trade issues obvious problems moment trade area not problems divert attention important areas cooperation that continue exist security and political issues question whether cooperative actions governments can reduce trade imbalance whether congress takes action reduce protectionist legislation reuter 
acq	anheuser busch joins bid for san miguel anheuser busch companies inc bud joined foreign bidders for sequestered shares philippines largest food and beverage maker san miguel corp sanm head government panel controls shares told reuters ramon diaz secretary presidential commission good government pcgg anheuser busch had told government interested buying mln shares san miguel not disclose offered price diaz australian brewer alan bond bond corp holdings had offered pesos per share for shares diaz york investment bank allen and inc had earlier interested buying mln sequestered shares told reuters last month elders ixl elxa melbourne based brewing company had bid for shares hong kong economic journal last month quoted spokesm
earn	jardine matheson sets two for bonus issue replacing shares 
acq	monier britain redland bid for diversified building materials group monier mnra talks taking place lead britain redland plc rdld making offer for monier shares not hold chairman bill locke redland holds pct monier mln issued shares notice australian stock exchange locke shareholders advised discussions progressed and recommended that shares monier shares trading high dlrs today previous peak yesterday close and low dlrs monier largest concrete roof tile manufacturer australia and zealand and world largest marketer fly ash annual report for ended june recently reported half net fell mln dlrs mln year earlier due australian housing downturn foreign earnings rose reuter 
earn	isuzu plans interim dividend isuzu motor isum will pay dividend for half year ending april company expected mark billion yen parent company current loss half due slow exports caused yen appreciation company spokesman company paid dividend since year ended october paid yen had billion yen current profit half reuter 
trade	japanese official takes data microchip talks ministry international trade and industry miti vice minister makoto kuroda leaves for washington today data hopes will refute charges japan violated pact microchip trade man japanese trade team washington laying groundwork for talks kuroda and deputy trade representative michael smith aimed persuading not impose tariffs japanese products kuroda taking proposals nothing briefcase explanation current situation kuroda told daily newspaper asahi shimbun kuroda decision based incorrect data and exaggerated sense miti power control market forces excessive expectations stabilise supply demand relations disrupted excess inventories since will time kuroda laid part blame for low chip sales japan lack effort american firms fails talks tomorrow and friday forestall sanctions will seek talks trade representative clayton yeutter officials this week talks delay imposition tariffs reuter 
acq	bell group confirms standard chartered stake bell group blla holds pct issued capital standard chartered plc stch acquiring shares sentence statement bell headquarters confirmed brokers warburg securities told reuters london yesterday bell previously held pct standard bell chairman robert holmes court director standard not for comment company intentions boosting holding and company officials contacted reuters declined comment reuter 
acq	nippon steel denies china seeking japanese plants nippon steel corp nstc denied local newspaper reports that china seeking buy steel plants japanese firms plan suspend output recently announced rationalisation program mainichi shimbun quoted nippon steel that china state planning commission and chinese firms asked japanese makers sell steel works and rolling mills expand steelmaking cheaply named sources nippon steel spokesman told reuters that china made such official request and company not such sales moment mainichi quoted nippon steel officials prices reasonable export used mills china paper china crude steel output totalled mln tonnes calendar and that plans increase mln japan steel industry rationalisation plan aimed cutting production capacity sharply years reuter 
earn	jardine matheson replaces share bonus issue jardine matheson holdings jard will withdraw previously announced for bonus issue shares and replace two for bonus issue ordinary shares statement firm expects pay total dividends for not cents share expanded capital jardine matheson decided withdraw issue joint announcement earlier today ronald chairman stock exchange hong kong and securities commissioner ray astin that listings shares barred official announcement this will include proposal jardine matheson jardine statement quoted chairman simon keswick continue that issuing shares benefit shareholders and regret that will not opportunity vote matter this stage keswick share issue will benefit jardine matheson shareholders giving firm flexibility issue ordinary shares for expansion future diluting existing shareholders voting rights added secretary for monetary affairs david nendick referral this important matter standing committee company law reform and hopeful that process will lead development general principles can embraced constituents hong kong market reuter 
